epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0533,0.9822,0.0445,0.9882,0.959,0.9963
2,0.0319,0.9902,0.0296,0.991,0.9688,0.9983
3,0.0259,0.9919,0.0286,0.9925,0.9744,0.9971
4,0.0219,0.9934,0.0213,0.9942,0.9804,0.9985
5,0.0188,0.9944,0.0257,0.9931,0.9765,0.9982
6,0.0161,0.9951,0.0196,0.9938,0.9793,0.9984
7,0.0148,0.9954,0.0213,0.994,0.9797,0.9987
8,0.0132,0.9962,0.0223,0.9948,0.9823,0.9973
9,0.0124,0.996,0.0277,0.9929,0.9758,0.9978
10,0.0104,0.9966,0.0254,0.9938,0.9792,0.9981
11,0.0087,0.9972,0.0222,0.995,0.983,0.9983
12,0.0094,0.9968,0.0301,0.9938,0.9791,0.9964
13,0.0075,0.9974,0.0265,0.9939,0.9795,0.9982
14,0.0072,0.9975,0.024,0.9954,0.9846,0.9975
15,0.0061,0.9978,0.0231,0.9952,0.9836,0.999
16,0.006,0.9978,0.0288,0.9941,0.9801,0.9974
17,0.0061,0.9979,0.0249,0.9936,0.9784,0.9985
18,0.0047,0.9984,0.0273,0.9943,0.9808,0.9979
19,0.0049,0.9983,0.023,0.9942,0.9806,0.9985
20,0.0052,0.9982,0.0257,0.9951,0.9833,0.9975
21,0.0032,0.9987,0.0288,0.9944,0.9811,0.9979
22,0.0043,0.9986,0.022,0.9956,0.9852,0.9987
23,0.0036,0.9987,0.0288,0.995,0.9829,0.9979
24,0.0023,0.9991,0.0278,0.9955,0.9849,0.9982
25,0.0029,0.999,0.0213,0.9956,0.9852,0.9985
26,0.0026,0.9992,0.034,0.9947,0.982,0.9977
27,0.0019,0.9994,0.0315,0.9944,0.9811,0.998
28,0.0022,0.9992,0.0239,0.9952,0.9837,0.9981
29,0.0018,0.9993,0.0286,0.9953,0.9843,0.9982
30,0.0009,0.9998,0.0289,0.995,0.9831,0.998
31,0.0014,0.9995,0.0364,0.9949,0.9826,0.9973
32,0.001,0.9997,0.0338,0.9947,0.9821,0.9976
33,0.0008,0.9997,0.0325,0.9952,0.9837,0.998
34,0.0003,0.9999,0.0362,0.9952,0.9837,0.9979
35,nan,0.868,nan,0.8511,0.0,0.0
36,nan,0.8488,nan,0.8511,0.0,0.0
37,nan,0.8488,nan,0.8511,0.0,0.0
38,nan,0.8488,nan,0.8511,0.0,0.0
39,nan,0.8488,nan,0.8511,0.0,0.0
40,nan,0.8488,nan,0.8511,0.0,0.0
41,nan,0.8488,nan,0.8511,0.0,0.0
42,nan,0.8488,nan,0.8511,0.0,0.0
43,nan,0.8488,nan,0.8511,0.0,0.0
44,nan,0.8488,nan,0.8511,0.0,0.0
45,nan,0.8488,nan,0.8511,0.0,0.0
46,nan,0.8488,nan,0.8511,0.0,0.0
47,nan,0.8488,nan,0.8511,0.0,0.0
48,nan,0.8488,nan,0.8511,0.0,0.0
49,nan,0.8488,nan,0.8511,0.0,0.0
50,nan,0.8488,nan,0.8511,0.0,0.0
