epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.073,0.9761,0.0405,0.9885,0.961,0.9948
2,0.0376,0.9888,0.0447,0.9862,0.9537,0.996
3,0.0303,0.9911,0.0288,0.9911,0.9688,0.998
4,0.0256,0.9924,0.0315,0.9906,0.967,0.9978
5,0.0227,0.993,0.0284,0.9923,0.9736,0.9978
6,0.0172,0.9946,0.0215,0.9944,0.9807,0.9983
7,0.0173,0.9948,0.0259,0.9938,0.9785,0.9973
8,0.0155,0.9953,0.0173,0.995,0.9827,0.999
9,0.0118,0.9962,0.0337,0.992,0.972,0.9967
10,0.0113,0.9964,0.0197,0.9948,0.9823,0.9987
11,0.0112,0.9965,0.0278,0.9922,0.9738,0.9988
12,0.0098,0.9967,0.0206,0.9954,0.9844,0.9979
13,0.0093,0.9969,0.0278,0.9938,0.9785,0.996
14,0.0073,0.9974,0.0172,0.9959,0.9861,0.999
15,0.0083,0.9972,0.0229,0.9943,0.9808,0.9989
16,0.0071,0.9978,0.0206,0.9952,0.9838,0.999
17,0.0056,0.9979,0.0271,0.9945,0.9813,0.9978
18,0.0068,0.9977,0.0314,0.9926,0.9751,0.9975
19,0.0054,0.998,0.0259,0.9952,0.9834,0.998
20,0.0051,0.9981,0.0182,0.9957,0.9854,0.9993
21,0.0042,0.9984,0.0267,0.9952,0.9837,0.9981
22,0.0037,0.9988,0.0258,0.9956,0.985,0.9981
23,0.0039,0.9985,0.023,0.9953,0.9841,0.9988
24,0.0046,0.9985,0.0204,0.9943,0.9807,0.9987
25,0.0031,0.9989,0.0258,0.9943,0.9808,0.9986
26,0.0026,0.9991,0.0273,0.9949,0.9827,0.9982
27,0.0026,0.9991,0.0233,0.996,0.9864,0.9983
28,0.0017,0.9994,0.0281,0.9959,0.9859,0.9966
29,0.0016,0.9994,0.0265,0.9959,0.9861,0.9988
30,0.0021,0.9993,0.0289,0.9953,0.9842,0.9967
31,0.0016,0.9994,0.0255,0.9952,0.9836,0.9985
32,0.001,0.9997,0.0331,0.9961,0.9866,0.9955
33,0.001,0.9996,0.0333,0.9952,0.9834,0.9962
34,0.0007,0.9997,0.0332,0.9952,0.9839,0.9978
35,0.0006,0.9998,0.0326,0.9954,0.9844,0.9967
36,0.0002,1.0,0.0397,0.9952,0.9835,0.9951
37,0.0009,0.9998,0.0312,0.9955,0.9847,0.9977
38,0.0002,0.9999,0.0306,0.996,0.9863,0.9977
39,0.0002,1.0,0.034,0.9959,0.986,0.9971
40,0.0,1.0,0.0362,0.9954,0.9844,0.9965
41,0.0,1.0,0.0405,0.9957,0.9854,0.9941
42,0.0004,1.0,0.0393,0.9956,0.9851,0.9939
43,0.0,1.0,0.039,0.9954,0.9844,0.9937
44,0.0,1.0,0.0392,0.9956,0.9851,0.9937
45,0.0,1.0,0.0405,0.9957,0.9854,0.9937
46,0.0001,1.0,0.0414,0.9955,0.9848,0.9939
47,0.0,1.0,0.0424,0.9954,0.9845,0.9936
48,0.0,1.0,0.0435,0.9951,0.9832,0.9936
49,0.0,1.0,0.0436,0.9952,0.9838,0.9934
50,0.0,1.0,0.0435,0.9953,0.9842,0.9933
