epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.077,0.9735,0.0715,0.9738,0.9171,0.9955
2,0.0388,0.9884,0.0273,0.9923,0.9738,0.9976
3,0.0297,0.9913,0.0312,0.9909,0.9694,0.9973
4,0.0246,0.993,0.029,0.9922,0.9735,0.9976
5,0.0227,0.9935,0.0395,0.9884,0.9613,0.9961
6,0.017,0.9949,0.0265,0.9918,0.9726,0.9986
7,0.0162,0.9952,0.0226,0.9941,0.9801,0.9976
8,0.0135,0.9958,0.0242,0.9931,0.9769,0.9987
9,0.0132,0.9958,0.0202,0.9945,0.9815,0.9979
10,0.0108,0.9964,0.0242,0.9938,0.9792,0.9985
11,0.0098,0.9968,0.0224,0.9949,0.9827,0.9977
12,0.0088,0.9973,0.0215,0.9941,0.9801,0.9987
13,0.0085,0.9973,0.0235,0.9944,0.981,0.998
14,0.0082,0.9972,0.0196,0.9951,0.9833,0.9983
15,0.0069,0.9978,0.0278,0.995,0.9829,0.9975
16,0.006,0.9981,0.0278,0.9938,0.9792,0.9978
17,0.0065,0.9979,0.0259,0.993,0.9768,0.9987
18,0.0054,0.9982,0.028,0.9949,0.9826,0.9973
19,0.0056,0.9982,0.032,0.9925,0.9749,0.9973
20,0.0052,0.9984,0.028,0.9946,0.9819,0.998
21,0.0045,0.9985,0.0328,0.9946,0.9816,0.9973
22,0.0032,0.9989,0.0291,0.9947,0.9822,0.997
23,0.0033,0.9989,0.0345,0.994,0.9798,0.9969
24,0.0034,0.9989,0.0317,0.9946,0.9817,0.9967
25,0.0032,0.9988,0.0236,0.9946,0.9818,0.9984
26,0.0023,0.9991,0.0276,0.9949,0.9827,0.9978
27,0.0028,0.999,0.0307,0.9954,0.9845,0.998
28,0.0015,0.9995,0.0383,0.9952,0.9839,0.9976
29,0.0013,0.9995,0.0331,0.9952,0.9837,0.9979
30,0.0019,0.9993,0.03,0.995,0.983,0.9984
31,0.0012,0.9996,0.0326,0.995,0.983,0.9983
32,0.0009,0.9996,0.035,0.9952,0.9839,0.9972
33,0.001,0.9997,0.0318,0.9958,0.9858,0.9971
34,0.0008,0.9999,0.0304,0.9958,0.9858,0.9977
35,0.0011,0.9997,0.0338,0.9953,0.9844,0.9985
36,0.0005,0.9999,0.0385,0.9952,0.9836,0.9985
37,0.0003,0.9999,0.0401,0.9954,0.9846,0.9981
38,0.0002,1.0,0.0417,0.9951,0.9833,0.9983
39,0.0005,0.9999,0.0411,0.9952,0.9839,0.9974
40,0.0,1.0,0.0443,0.9952,0.9836,0.9972
41,0.0001,1.0,0.0453,0.9952,0.9839,0.9967
42,0.0001,1.0,0.046,0.9951,0.9833,0.9971
43,0.0001,1.0,0.0442,0.995,0.983,0.9971
44,0.0,1.0,0.0456,0.9947,0.982,0.997
45,0.0,1.0,0.0464,0.9946,0.9817,0.9967
46,nan,0.9722,nan,0.8511,0.0,0.0
47,nan,0.8488,nan,0.8511,0.0,0.0
48,nan,0.8488,nan,0.8511,0.0,0.0
49,nan,0.8488,nan,0.8511,0.0,0.0
50,nan,0.8488,nan,0.8511,0.0,0.0
