epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.5118,0.7845,0.4342,0.8498,0.0,0.4935
2,0.31,0.8922,0.0758,0.9797,0.9299,0.9847
3,0.0847,0.9756,0.0761,0.9768,0.9238,0.9889
4,0.0705,0.9787,0.058,0.9811,0.9376,0.994
5,0.0635,0.9806,0.0711,0.9815,0.9367,0.9892
6,0.0535,0.9839,0.0695,0.9813,0.9339,0.9938
7,0.0495,0.9854,0.0488,0.9852,0.9502,0.9947
8,0.0454,0.9865,0.0378,0.9886,0.9615,0.9964
9,0.0442,0.9873,0.0344,0.9894,0.9646,0.9974
10,0.0373,0.9894,0.0331,0.9904,0.9677,0.9971
11,0.0367,0.9897,0.0312,0.9899,0.9661,0.9973
12,0.0319,0.9907,0.0352,0.9896,0.9655,0.9965
13,0.0313,0.9914,0.0332,0.9909,0.9692,0.9955
14,0.0312,0.9912,0.0303,0.9914,0.9714,0.9974
15,0.0265,0.9926,0.0287,0.9924,0.9744,0.9968
16,0.0294,0.992,0.0375,0.989,0.9634,0.9964
17,0.0308,0.9916,0.0393,0.9903,0.9668,0.9969
18,0.0274,0.9925,0.0364,0.9914,0.9709,0.9942
19,0.023,0.9942,0.0339,0.9923,0.974,0.9962
20,0.0243,0.9939,0.046,0.9888,0.9633,0.9964
21,0.0269,0.9929,0.03,0.9929,0.9762,0.9961
22,0.0251,0.9935,0.0375,0.99,0.9671,0.9971
23,0.0247,0.9934,0.0427,0.9909,0.969,0.9956
24,0.0218,0.9943,0.0309,0.9922,0.9739,0.9969
25,0.0238,0.9937,0.0317,0.993,0.9766,0.9973
26,0.0298,0.9926,0.0362,0.9918,0.9727,0.9968
27,0.0265,0.9941,0.0422,0.9906,0.9689,0.9968
28,0.0272,0.9937,0.0369,0.9919,0.9726,0.9945
29,0.0255,0.9946,0.0402,0.9916,0.9716,0.9967
30,0.0245,0.9946,0.0416,0.9915,0.9712,0.9973
31,0.0315,0.9927,0.0365,0.9922,0.9737,0.9974
32,0.0242,0.9946,0.0367,0.9926,0.9751,0.9957
33,0.0209,0.9953,0.0414,0.9917,0.9719,0.995
34,0.0207,0.9951,0.0334,0.9924,0.9743,0.997
35,0.0168,0.9965,0.0425,0.9918,0.9727,0.9966
36,0.0161,0.9965,0.0453,0.9919,0.9726,0.9946
37,0.0143,0.997,0.0431,0.9926,0.9753,0.9971
38,0.012,0.9974,0.0453,0.9917,0.9721,0.996
39,0.0114,0.9975,0.0468,0.9923,0.9739,0.9949
40,0.01,0.998,0.0454,0.9926,0.9753,0.9968
41,0.0083,0.9982,0.0426,0.9923,0.9741,0.9956
42,0.0074,0.9986,0.0477,0.9919,0.9728,0.9961
43,0.0069,0.9987,0.0458,0.9923,0.9742,0.9963
44,0.0048,0.9991,0.0471,0.9926,0.9753,0.9958
45,0.0043,0.9992,0.0476,0.9926,0.9754,0.9959
46,0.0037,0.9993,0.0507,0.9924,0.9744,0.9964
47,0.003,0.9995,0.0535,0.9921,0.9735,0.996
48,0.0025,0.9996,0.0531,0.9921,0.9735,0.9959
49,0.0025,0.9996,0.0529,0.9923,0.9741,0.9958
50,0.0024,0.9996,0.0526,0.9921,0.9735,0.9962
