epoch,train_loss,domain_loss,alpha,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0625,0.4655,0.0,0.9815,0.0269,0.9917,0.9727,0.9972
2,0.0381,0.6948,0.0997,0.9882,0.0521,0.9864,0.9536,0.9966
3,0.032,0.6859,0.1974,0.9903,0.0308,0.9913,0.971,0.9982
4,0.0276,0.6876,0.2913,0.9914,0.031,0.9912,0.9709,0.9981
5,0.0259,0.688,0.3799,0.9919,0.0326,0.9909,0.9693,0.9982
6,0.0228,0.6908,0.4621,0.9926,0.0416,0.9862,0.9528,0.9988
7,0.0207,0.6893,0.537,0.9934,0.0244,0.9934,0.9781,0.9989
8,0.0203,0.6908,0.6044,0.9935,0.0232,0.9945,0.9818,0.9991
9,0.018,0.6904,0.664,0.9941,0.0196,0.9933,0.9779,0.9992
10,0.0168,0.6913,0.7163,0.9945,0.0336,0.9918,0.9726,0.9982
11,0.0162,0.6913,0.7616,0.9946,0.043,0.9914,0.9712,0.9987
12,0.0146,0.6913,0.8005,0.9951,0.0341,0.9912,0.9706,0.999
13,0.0138,0.6919,0.8337,0.9955,0.0205,0.9946,0.9821,0.9993
14,0.0133,0.6914,0.8617,0.9954,0.0307,0.993,0.977,0.998
15,0.0124,0.692,0.8854,0.9957,0.0206,0.9947,0.9825,0.9993
16,0.0102,0.6924,0.9051,0.9964,0.0262,0.993,0.9768,0.9991
17,0.01,0.6921,0.9217,0.9966,0.0436,0.9882,0.9599,0.9986
18,0.0091,0.6924,0.9354,0.9968,0.02,0.9951,0.9837,0.9992
19,0.0085,0.6925,0.9468,0.9968,0.0327,0.9921,0.9735,0.9992
20,0.0082,0.6929,0.9562,0.997,0.0351,0.9931,0.9771,0.9988
21,0.0069,0.6925,0.964,0.9974,0.0207,0.9954,0.985,0.9994
22,0.0078,0.6923,0.9705,0.9972,0.025,0.995,0.9834,0.9989
23,0.0068,0.6921,0.9757,0.9977,0.0173,0.9959,0.9865,0.9995
24,0.0064,0.6923,0.9801,0.9978,0.0421,0.993,0.9767,0.9987
25,0.0066,0.6921,0.9837,0.9978,0.0247,0.994,0.9803,0.9991
26,0.0054,0.6922,0.9866,0.9981,0.0354,0.9926,0.9755,0.999
27,0.0051,0.6922,0.989,0.9982,0.0296,0.9941,0.9806,0.9992
28,0.0048,0.6922,0.991,0.9981,0.0248,0.9945,0.9819,0.9991
29,0.0042,0.6921,0.9926,0.9986,0.0368,0.9934,0.9779,0.9992
30,0.0046,0.6924,0.994,0.9983,0.027,0.9938,0.9796,0.9994
31,0.0044,0.6927,0.9951,0.9987,0.0646,0.9887,0.9618,0.9986
32,0.0038,0.6927,0.9959,0.9987,0.0376,0.9943,0.9811,0.9993
33,0.003,0.6924,0.9967,0.999,0.0231,0.995,0.9835,0.9995
34,0.0027,0.6926,0.9973,0.9991,0.0352,0.9929,0.9765,0.9992
35,0.0023,0.6925,0.9978,0.9991,0.0382,0.9941,0.9805,0.9993
36,0.0019,0.6925,0.9982,0.9993,0.0261,0.9955,0.9853,0.9994
37,0.0021,0.6925,0.9985,0.9991,0.0363,0.9941,0.9806,0.9993
38,0.0016,0.6927,0.9988,0.9995,0.0286,0.9953,0.9846,0.9993
39,0.0011,0.6926,0.999,0.9997,0.031,0.995,0.9834,0.9994
40,0.0009,0.6927,0.9992,0.9998,0.0347,0.995,0.9834,0.9994
41,0.0008,0.6926,0.9993,0.9998,0.031,0.9952,0.9843,0.9994
42,0.0008,0.6927,0.9995,0.9998,0.0358,0.9945,0.9818,0.9991
43,0.0006,0.6928,0.9996,0.9999,0.033,0.995,0.9834,0.9991
44,0.0004,0.6929,0.9996,0.9999,0.0394,0.9943,0.9812,0.9991
45,0.0004,0.6928,0.9997,0.9999,0.0338,0.9951,0.9837,0.9993
46,0.0003,0.693,0.9998,1.0,0.0511,0.9937,0.9789,0.9991
47,0.0003,0.6931,0.9998,1.0,0.0388,0.9946,0.9821,0.9992
48,0.0002,0.693,0.9998,1.0,0.0379,0.9948,0.9827,0.9991
49,0.0003,0.693,0.9999,1.0,0.0367,0.9946,0.9821,0.9992
50,0.0002,0.6931,0.9999,1.0,0.038,0.9943,0.9812,0.9992
