epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0978,0.9695,0.042,0.9865,0.9538,0.9954
2,0.0476,0.985,0.039,0.9884,0.9608,0.9962
3,0.038,0.9877,0.037,0.9893,0.9638,0.9964
4,0.0318,0.9899,0.0366,0.9891,0.9629,0.9972
5,0.0283,0.9904,0.0357,0.9901,0.9666,0.9973
6,0.0245,0.9916,0.0346,0.9919,0.9726,0.9971
7,0.022,0.9926,0.0351,0.9913,0.9706,0.9972
8,0.0209,0.9932,0.0339,0.9916,0.9718,0.9969
9,0.0194,0.9937,0.0336,0.9911,0.9699,0.9973
10,0.0183,0.9941,0.0345,0.9918,0.9724,0.9968
11,0.0163,0.9943,0.0359,0.9913,0.9707,0.997
12,0.0164,0.9949,0.0323,0.9926,0.9753,0.9972
13,0.0159,0.9942,0.035,0.9914,0.9712,0.9966
14,0.0135,0.9953,0.0348,0.9912,0.9708,0.9975
15,0.0136,0.9955,0.0372,0.9919,0.9727,0.997
16,0.013,0.9959,0.0362,0.993,0.9765,0.9964
17,0.0118,0.9959,0.0407,0.9916,0.9717,0.9964
18,0.0121,0.9958,0.0373,0.9921,0.9734,0.9969
19,0.0109,0.9963,0.0426,0.9921,0.9733,0.996
20,0.0109,0.996,0.0388,0.9929,0.9763,0.9967
21,0.0099,0.9968,0.0422,0.9924,0.9742,0.9962
22,0.0105,0.9964,0.0367,0.9933,0.9775,0.9969
23,0.0102,0.9965,0.0388,0.9925,0.9748,0.9967
24,0.0086,0.9972,0.0474,0.9923,0.9739,0.9955
25,0.0109,0.9962,0.0445,0.9917,0.9721,0.9954
26,0.0103,0.9965,0.0438,0.9925,0.9746,0.9965
27,0.0082,0.9975,0.0437,0.9924,0.9743,0.9967
28,0.0086,0.9973,0.0456,0.9925,0.9747,0.996
29,0.0094,0.9968,0.0424,0.9929,0.9762,0.9967
30,0.0068,0.9977,0.0451,0.992,0.9729,0.9972
31,0.0079,0.9972,0.0443,0.9911,0.9702,0.9974
32,0.0075,0.9975,0.0431,0.9924,0.9744,0.9972
33,0.0071,0.9976,0.0438,0.9925,0.975,0.9971
34,0.0078,0.9971,0.0488,0.9922,0.9738,0.9959
35,0.0069,0.9975,0.0433,0.9927,0.9754,0.997
36,0.0069,0.9977,0.0463,0.9921,0.9734,0.9967
37,0.0069,0.9977,0.045,0.9923,0.9741,0.9965
38,0.0064,0.9979,0.0481,0.9921,0.9732,0.9966
39,0.0068,0.9977,0.0497,0.9925,0.9748,0.9963
40,0.0069,0.9976,0.0469,0.9925,0.9747,0.9965
41,0.0064,0.9976,0.0413,0.9934,0.9779,0.9968
42,0.0061,0.9978,0.0443,0.9924,0.9746,0.9968
43,0.0056,0.9983,0.0486,0.9928,0.9759,0.9964
44,0.0064,0.9979,0.0469,0.9925,0.975,0.9969
45,0.0063,0.9977,0.05,0.9926,0.9753,0.9968
46,0.0056,0.9981,0.0439,0.9928,0.9759,0.9971
47,0.0048,0.9984,0.0525,0.9925,0.9749,0.997
48,0.0059,0.9978,0.0545,0.9925,0.975,0.9966
49,0.0066,0.9977,0.0602,0.9915,0.9714,0.9961
50,0.0061,0.9979,0.0554,0.9922,0.9738,0.9965
