epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1025,0.9673,0.0439,0.9866,0.9538,0.9956
2,0.0475,0.9848,0.0318,0.9901,0.9661,0.9975
3,0.0388,0.9872,0.0281,0.9911,0.9696,0.9981
4,0.0322,0.9896,0.0248,0.9911,0.9699,0.9987
5,0.0281,0.9908,0.0243,0.9925,0.9745,0.9987
6,0.0271,0.9911,0.0258,0.9915,0.9711,0.9988
7,0.0229,0.9924,0.0245,0.9915,0.9713,0.999
8,0.0218,0.9924,0.0226,0.9935,0.9778,0.9985
9,0.0199,0.993,0.0238,0.9926,0.9748,0.9988
10,0.0176,0.994,0.0241,0.9923,0.9739,0.9991
11,0.0186,0.9935,0.0246,0.9922,0.9734,0.9986
12,0.0149,0.9951,0.024,0.9931,0.9764,0.9988
13,0.016,0.995,0.0235,0.9935,0.9779,0.999
14,0.014,0.9949,0.025,0.9934,0.9775,0.9987
15,0.0127,0.9957,0.0252,0.9933,0.9772,0.9987
16,0.0132,0.9955,0.0279,0.9932,0.9769,0.9988
17,0.0129,0.9957,0.0255,0.9925,0.9744,0.9988
18,0.0132,0.9954,0.0233,0.9944,0.981,0.9989
19,0.0132,0.9956,0.0253,0.9938,0.9789,0.9989
20,0.0113,0.9962,0.028,0.9933,0.977,0.9989
21,0.0103,0.9966,0.0258,0.9938,0.9787,0.9988
22,0.0105,0.9965,0.025,0.9932,0.9769,0.9986
23,0.0102,0.9964,0.0236,0.9944,0.981,0.999
24,0.0109,0.9963,0.0242,0.9936,0.9782,0.9991
25,0.01,0.9968,0.0245,0.9935,0.9778,0.9987
26,0.0085,0.9969,0.0259,0.9932,0.9768,0.9988
27,0.0085,0.9971,0.0255,0.9938,0.9788,0.9988
28,0.0086,0.9969,0.0287,0.993,0.9763,0.9989
29,0.0097,0.9969,0.026,0.9931,0.9767,0.999
30,0.0085,0.9974,0.0252,0.9939,0.9794,0.9989
31,0.0075,0.9972,0.0262,0.9936,0.9781,0.9986
32,0.0078,0.9976,0.0285,0.9936,0.9781,0.9986
33,0.0084,0.9971,0.0277,0.9938,0.9791,0.9987
34,0.0072,0.9976,0.0253,0.9941,0.98,0.9992
35,0.0074,0.9975,0.0294,0.994,0.9798,0.9988
36,0.0072,0.9974,0.0267,0.9943,0.9806,0.9993
37,0.0072,0.9976,0.024,0.9942,0.9805,0.999
38,0.0064,0.9978,0.0239,0.9945,0.9813,0.9989
39,0.008,0.9974,0.0256,0.9936,0.9782,0.9989
40,0.0065,0.9977,0.0269,0.9939,0.9793,0.9989
41,0.006,0.998,0.0259,0.9938,0.9789,0.9991
42,0.0071,0.9975,0.0289,0.9936,0.9782,0.9987
43,0.0064,0.9975,0.0299,0.9938,0.9788,0.9986
44,0.0064,0.9979,0.0295,0.9938,0.979,0.999
45,0.0058,0.9981,0.03,0.9938,0.9787,0.9989
46,0.0062,0.9978,0.0288,0.9938,0.9789,0.999
47,0.0068,0.9976,0.0287,0.9939,0.9794,0.9987
48,0.0055,0.9981,0.0321,0.9932,0.977,0.9986
49,0.0065,0.9978,0.0276,0.9945,0.9813,0.9989
50,0.006,0.9979,0.0284,0.9947,0.982,0.9989
