epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.046,0.9845,0.0389,0.9891,0.9632,0.9963
2,0.0228,0.993,0.0306,0.9902,0.9659,0.9977
3,0.0175,0.9947,0.0195,0.994,0.9797,0.999
4,0.0156,0.9949,0.0276,0.9925,0.9741,0.9978
5,0.0131,0.9956,0.0208,0.9939,0.9794,0.9991
6,0.0116,0.9958,0.0172,0.9955,0.9848,0.9992
7,0.0102,0.9965,0.0208,0.9944,0.9809,0.9989
8,0.0083,0.9972,0.023,0.9943,0.9806,0.9986
9,0.0088,0.997,0.0205,0.9953,0.9841,0.9981
10,0.0071,0.9979,0.0207,0.9942,0.9802,0.9991
11,0.0061,0.9978,0.0173,0.9963,0.9873,0.9993
12,0.0053,0.9981,0.0222,0.9952,0.9837,0.9982
13,0.0052,0.9981,0.0324,0.9928,0.9759,0.9981
14,0.0046,0.9984,0.0183,0.9956,0.9851,0.9993
15,0.0037,0.9987,0.026,0.9954,0.9845,0.9982
16,0.0052,0.9982,0.0193,0.9953,0.9842,0.999
17,0.0031,0.999,0.0169,0.9956,0.9851,0.9995
18,0.0034,0.9987,0.0265,0.9952,0.9835,0.9988
19,0.0034,0.9989,0.0219,0.9955,0.9848,0.999
20,0.0035,0.9989,0.0222,0.9962,0.987,0.9991
21,0.0025,0.9992,0.0241,0.9958,0.9857,0.999
22,0.0017,0.9994,0.0233,0.9956,0.9851,0.9992
23,0.0037,0.9988,0.0225,0.9953,0.9841,0.999
24,0.0026,0.9991,0.0231,0.9952,0.9835,0.9989
25,0.0025,0.999,0.0269,0.9942,0.9805,0.9993
26,0.0013,0.9996,0.0316,0.9957,0.9854,0.9991
27,0.0023,0.9994,0.0264,0.9949,0.9826,0.9988
28,0.0022,0.9993,0.0237,0.9953,0.9842,0.9988
29,0.0015,0.9995,0.0315,0.9957,0.9854,0.999
30,0.0018,0.9994,0.0273,0.9961,0.9866,0.999
31,0.0016,0.9995,0.0303,0.9938,0.9789,0.9994
32,0.0025,0.9991,0.0249,0.9956,0.9851,0.9991
33,0.0009,0.9996,0.0419,0.9936,0.9782,0.9985
34,0.0016,0.9995,0.0276,0.996,0.9864,0.9991
35,0.0008,0.9997,0.0284,0.9954,0.9845,0.9991
36,0.0015,0.9995,0.0387,0.9929,0.9762,0.9985
37,0.0012,0.9996,0.0317,0.9953,0.9842,0.9987
38,0.001,0.9998,0.0371,0.9943,0.9808,0.9982
39,0.0015,0.9995,0.0354,0.9951,0.9833,0.9989
40,0.0011,0.9997,0.0282,0.9959,0.9861,0.9988
41,0.0016,0.9995,0.0329,0.9961,0.9867,0.998
42,0.001,0.9996,0.0286,0.9961,0.9867,0.9983
43,0.0017,0.9995,0.0311,0.996,0.9864,0.998
44,0.0006,0.9999,0.0349,0.9959,0.986,0.9984
45,0.0001,1.0,0.0409,0.9964,0.9876,0.9979
46,0.0022,0.9993,0.0257,0.9951,0.9832,0.999
47,0.0008,0.9997,0.0274,0.996,0.9863,0.9991
48,0.001,0.9997,0.0335,0.9958,0.9856,0.9991
49,0.0016,0.9997,0.0331,0.9947,0.9818,0.9986
50,0.0013,0.9996,0.0254,0.9953,0.9842,0.9993
