epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0587,0.9808,0.0261,0.9918,0.9726,0.9981
2,0.0348,0.9895,0.0376,0.9886,0.9607,0.9982
3,0.0264,0.9918,0.0209,0.9941,0.9803,0.9986
4,0.0225,0.9932,0.0185,0.9941,0.9801,0.9991
5,0.0212,0.9936,0.0232,0.9921,0.9731,0.9988
6,0.0188,0.9943,0.0175,0.995,0.9832,0.9993
7,0.0156,0.9951,0.0159,0.9954,0.9847,0.9992
8,0.0144,0.9956,0.0162,0.9952,0.9837,0.9992
9,0.0144,0.9956,0.0243,0.9928,0.9757,0.9989
10,0.0128,0.9961,0.0187,0.994,0.98,0.9991
11,0.0121,0.9961,0.0192,0.9942,0.9804,0.9992
12,0.0107,0.9965,0.0138,0.9961,0.987,0.9992
13,0.01,0.9968,0.0176,0.9945,0.9818,0.9992
14,0.0095,0.997,0.0141,0.9959,0.9864,0.9995
15,0.0089,0.997,0.0143,0.9963,0.9875,0.9991
16,0.0077,0.9976,0.0157,0.996,0.9865,0.9991
17,0.0078,0.9973,0.0139,0.9963,0.9876,0.9992
18,0.007,0.9976,0.0198,0.9955,0.9849,0.9994
19,0.0069,0.9977,0.0159,0.9953,0.9845,0.9989
20,0.0067,0.9978,0.0178,0.9953,0.9844,0.9989
21,0.005,0.9982,0.0242,0.9954,0.9847,0.9987
22,0.0059,0.9981,0.0192,0.9961,0.9869,0.9991
23,0.0047,0.9984,0.02,0.995,0.983,0.9993
24,0.0046,0.9983,0.0162,0.9959,0.9863,0.9992
25,0.0043,0.9986,0.0182,0.9951,0.9835,0.999
26,0.0037,0.9987,0.0206,0.9942,0.9805,0.9989
27,0.004,0.9986,0.02,0.9961,0.9869,0.9993
28,0.003,0.9989,0.0149,0.9964,0.9879,0.9995
29,0.0028,0.999,0.0186,0.9964,0.9878,0.9993
30,0.0025,0.999,0.0288,0.9946,0.9817,0.9993
31,0.0019,0.9993,0.0248,0.995,0.9832,0.9991
32,0.0026,0.9991,0.0206,0.9952,0.9838,0.9994
33,0.0013,0.9995,0.0251,0.9958,0.9859,0.9994
34,0.0016,0.9994,0.0307,0.9964,0.9878,0.9995
35,0.0012,0.9996,0.0296,0.9951,0.9834,0.9994
36,0.0013,0.9996,0.0242,0.996,0.9866,0.9993
37,0.001,0.9997,0.0236,0.9955,0.9851,0.9995
38,0.0006,0.9998,0.0295,0.9957,0.9857,0.9992
39,0.0003,0.9998,0.0308,0.9952,0.9842,0.9994
40,0.0004,0.9999,0.0308,0.9965,0.9882,0.9995
41,0.0,1.0,0.039,0.9961,0.9869,0.9977
42,0.0003,0.9999,0.0382,0.9953,0.9844,0.9992
43,0.0003,0.9999,0.0329,0.9959,0.9863,0.9988
44,0.0001,1.0,0.0397,0.9959,0.9863,0.9988
45,0.0,1.0,0.039,0.9959,0.9863,0.9987
46,0.0,1.0,0.0409,0.9955,0.985,0.9985
47,0.0,1.0,0.0429,0.9955,0.985,0.9984
48,0.0,1.0,0.0435,0.9952,0.9841,0.9982
49,0.0,1.0,0.0442,0.9954,0.9847,0.9983
50,0.0,1.0,0.0437,0.9952,0.9838,0.9984
