epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0557,0.9817,0.0291,0.9914,0.9715,0.9979
2,0.0365,0.9891,0.0295,0.9918,0.9725,0.9986
3,0.0272,0.9918,0.0217,0.9932,0.9778,0.9987
4,0.025,0.9922,0.0168,0.9951,0.9838,0.9992
5,0.0215,0.9934,0.0288,0.9898,0.966,0.9986
6,0.0186,0.994,0.0196,0.995,0.9833,0.9992
7,0.0165,0.995,0.0169,0.9952,0.9839,0.9992
8,0.0152,0.9953,0.0184,0.9948,0.9827,0.9994
9,0.0143,0.9957,0.0179,0.9942,0.9813,0.9993
10,0.0131,0.9958,0.0176,0.9948,0.9827,0.999
11,0.0123,0.9962,0.0139,0.9962,0.9874,0.9996
12,0.0124,0.996,0.018,0.9945,0.9818,0.9993
13,0.0105,0.9967,0.0162,0.996,0.9868,0.9993
14,0.0093,0.9968,0.0141,0.9956,0.9855,0.9992
15,0.0088,0.997,0.0137,0.9958,0.9862,0.9996
16,0.0086,0.9971,0.0178,0.9955,0.9852,0.9995
17,0.0078,0.9978,0.0153,0.996,0.9868,0.9996
18,0.0082,0.9973,0.0146,0.9963,0.9877,0.9994
19,0.0072,0.9977,0.0161,0.9949,0.983,0.9997
20,0.0061,0.9981,0.0216,0.9938,0.98,0.9992
21,0.0064,0.9977,0.0144,0.9963,0.9878,0.9994
22,0.0047,0.9984,0.0149,0.9959,0.9866,0.9994
23,0.0057,0.9981,0.0102,0.9971,0.9906,0.9997
24,0.0051,0.9982,0.0124,0.9972,0.9908,0.9995
25,0.0039,0.9988,0.0131,0.9966,0.9887,0.9994
26,0.0041,0.9986,0.0138,0.996,0.987,0.9996
27,0.0037,0.9987,0.0343,0.9885,0.9636,0.9993
28,0.003,0.9989,0.0139,0.9961,0.9871,0.9994
29,0.0027,0.9991,0.0152,0.9966,0.989,0.9995
30,0.0026,0.9992,0.0139,0.9971,0.9905,0.9996
31,0.0023,0.9994,0.0161,0.9966,0.9891,0.9994
32,0.0023,0.9992,0.0132,0.9969,0.9899,0.999
33,0.0015,0.9995,0.0151,0.9975,0.9918,0.999
34,0.0015,0.9996,0.0121,0.9967,0.9893,0.9998
35,0.0008,0.9997,0.0181,0.9971,0.9905,0.9998
36,0.0014,0.9995,0.015,0.9966,0.9889,0.9995
37,0.0008,0.9997,0.017,0.997,0.9902,0.9992
38,0.0005,0.9999,0.0135,0.9976,0.9921,0.9996
39,0.0005,0.9998,0.0178,0.9971,0.9905,0.9995
40,0.0003,0.9999,0.0172,0.9974,0.9914,0.9993
41,0.0,1.0,0.0193,0.9976,0.9921,0.9989
42,0.0002,1.0,0.0197,0.9971,0.9905,0.9992
43,0.0001,1.0,0.021,0.997,0.9903,0.9994
44,0.0001,1.0,0.0183,0.9974,0.9914,0.9993
45,0.0,1.0,0.0184,0.9974,0.9914,0.9992
46,0.0,1.0,0.0192,0.9974,0.9914,0.9992
47,0.0,1.0,0.0204,0.9972,0.9908,0.9992
48,0.0,1.0,0.0196,0.9974,0.9914,0.9992
49,0.0,1.0,0.0201,0.9974,0.9914,0.9991
50,0.0,1.0,0.0199,0.9974,0.9914,0.9991
