epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1176,0.9628,0.0724,0.977,0.9217,0.9917
2,0.0721,0.977,0.0452,0.987,0.9555,0.995
3,0.0716,0.9779,0.0765,0.9768,0.9189,0.9866
4,0.0723,0.9773,0.066,0.9813,0.9336,0.9875
5,0.0791,0.9753,0.1009,0.9667,0.8846,0.9774
6,0.1112,0.9654,0.078,0.9779,0.9219,0.9844
7,0.0792,0.9757,0.0718,0.9786,0.9283,0.9908
8,0.0671,0.979,0.0602,0.9791,0.9268,0.9899
9,0.0731,0.9776,0.07,0.9786,0.9268,0.9907
10,0.0648,0.9801,0.0585,0.9817,0.9383,0.9927
11,0.0673,0.9784,0.0666,0.9804,0.9344,0.99
12,0.0643,0.9807,0.0658,0.9805,0.9307,0.9914
13,0.0773,0.9759,0.0683,0.9781,0.9215,0.9921
14,0.0626,0.9814,0.0448,0.9852,0.9494,0.9951
15,0.077,0.9753,0.0756,0.9785,0.9253,0.9896
16,0.0663,0.9799,0.0604,0.9819,0.9387,0.9932
17,0.0672,0.9788,0.0866,0.9726,0.9077,0.9741
18,0.1027,0.9671,0.1171,0.9679,0.8904,0.9726
19,0.142,0.9558,0.1499,0.9561,0.8404,0.9426
20,0.1468,0.9533,0.1203,0.9651,0.8754,0.9709
21,0.101,0.9687,0.0863,0.9744,0.911,0.984
22,0.0857,0.9726,0.0903,0.9753,0.912,0.9835
23,0.1103,0.964,0.1501,0.9525,0.8182,0.9501
24,0.1104,0.9664,0.1001,0.9722,0.9015,0.9753
25,0.0983,0.9709,0.0851,0.9747,0.9119,0.983
26,0.0888,0.9731,0.0893,0.9746,0.9141,0.9825
27,0.0887,0.9719,0.083,0.9763,0.9176,0.9835
28,0.0841,0.9736,0.0817,0.9754,0.9157,0.9843
29,0.0802,0.974,0.0723,0.9771,0.9204,0.9863
30,0.0887,0.9712,0.1241,0.9585,0.8568,0.9701
31,0.1158,0.962,0.0962,0.9675,0.8805,0.9792
32,0.1232,0.9587,0.106,0.9674,0.8847,0.9798
33,0.0919,0.971,0.0862,0.9734,0.9074,0.9829
34,0.1049,0.9666,0.085,0.9745,0.9123,0.9826
35,0.0838,0.9737,0.0765,0.9775,0.9214,0.9856
36,0.0802,0.9748,0.0806,0.9751,0.9117,0.9852
37,0.1052,0.9641,0.096,0.968,0.8913,0.9798
38,0.0953,0.9689,0.0806,0.9736,0.9071,0.9846
39,0.0846,0.9726,0.0876,0.9732,0.9053,0.9822
40,0.0748,0.976,0.0771,0.9764,0.919,0.986
41,0.073,0.9767,0.0782,0.9743,0.9083,0.9856
42,0.1578,0.9399,0.2146,0.9104,0.7396,0.9376
43,0.1949,0.9372,0.186,0.9456,0.8014,0.9081
44,0.1772,0.9443,0.1786,0.9476,0.8031,0.9292
45,0.1696,0.9481,0.1525,0.9545,0.8287,0.9287
46,0.1501,0.9538,0.1334,0.9601,0.8522,0.9448
47,0.1371,0.9585,0.1271,0.9647,0.8715,0.9587
48,0.1201,0.964,0.1058,0.9691,0.8875,0.9737
49,0.1045,0.967,0.1098,0.9657,0.872,0.978
50,0.1004,0.9665,0.0897,0.972,0.8983,0.9816
