epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1114,0.9651,0.065,0.9801,0.9318,0.9923
2,0.0758,0.9763,0.0728,0.981,0.9346,0.9893
3,0.0681,0.9784,0.08,0.9733,0.9023,0.9892
4,0.0848,0.9731,0.0941,0.9703,0.8919,0.9795
5,0.1129,0.9638,0.12,0.9612,0.8546,0.9721
6,0.2061,0.9357,0.2155,0.9326,0.7518,0.9024
7,0.2083,0.9366,0.193,0.9457,0.7932,0.9073
8,0.2044,0.9385,0.2067,0.9433,0.7903,0.8965
9,0.1821,0.9465,0.1546,0.9543,0.8223,0.9464
10,0.1578,0.9524,0.1704,0.9487,0.8081,0.9399
11,0.1537,0.9516,0.1332,0.9583,0.8464,0.9605
12,0.1374,0.9568,0.1239,0.9618,0.8614,0.9638
13,0.1305,0.9595,0.123,0.963,0.8627,0.9655
14,0.2442,0.9185,0.2174,0.933,0.7383,0.9082
15,0.1866,0.9425,0.1521,0.9549,0.8308,0.9217
16,0.1618,0.9528,0.2021,0.9407,0.7672,0.8789
17,0.1922,0.9437,0.2668,0.9213,0.6672,0.7778
18,0.2265,0.9298,0.1993,0.9443,0.7938,0.8842
19,0.1931,0.944,0.1749,0.9505,0.8185,0.9077
20,0.1721,0.9506,0.1584,0.9564,0.8358,0.9203
21,0.1673,0.9523,0.1514,0.9573,0.8364,0.9277
22,0.1568,0.9556,0.1515,0.9597,0.8467,0.9286
23,0.1761,0.9504,0.2132,0.9414,0.7593,0.8916
24,0.1642,0.9515,0.1453,0.958,0.8378,0.9314
25,0.1542,0.9555,0.1627,0.9569,0.8445,0.938
26,0.1674,0.949,0.1381,0.9591,0.8527,0.9457
27,0.1446,0.9569,0.1277,0.9613,0.8566,0.9527
28,0.1663,0.95,0.174,0.9529,0.8237,0.9305
29,0.1433,0.9591,0.1267,0.9651,0.871,0.9519
30,0.13,0.962,0.1286,0.9648,0.8748,0.952
31,0.1307,0.9624,0.1274,0.9674,0.8814,0.9467
32,0.1631,0.9526,0.1332,0.9612,0.8557,0.9541
33,0.1215,0.9646,0.1213,0.9654,0.8764,0.9556
34,0.1215,0.9648,0.1118,0.9684,0.885,0.9647
35,0.1246,0.9628,0.1157,0.9669,0.8815,0.9665
36,0.1175,0.966,0.1197,0.9665,0.878,0.964
37,0.1118,0.9687,0.1101,0.9693,0.8896,0.965
38,0.1108,0.9695,0.1178,0.9685,0.8873,0.9686
39,0.1118,0.9682,0.116,0.9677,0.8834,0.9669
40,0.1072,0.9693,0.1041,0.9708,0.8941,0.9715
41,0.1077,0.9693,0.1081,0.9683,0.8858,0.9722
42,0.1616,0.9493,0.1261,0.9645,0.8683,0.9558
43,0.118,0.9662,0.1115,0.9669,0.878,0.9687
44,0.1145,0.9661,0.1084,0.9673,0.8843,0.9717
45,0.1209,0.9631,0.1189,0.965,0.8789,0.9718
46,0.1104,0.9665,0.1049,0.9699,0.8945,0.9746
47,0.1007,0.9707,0.1026,0.9692,0.8898,0.9764
48,0.1026,0.9695,0.1047,0.9697,0.8923,0.9751
49,0.2549,0.8978,0.3379,0.8528,0.0,0.8024
50,0.2326,0.9085,0.1714,0.9462,0.8098,0.9462
