epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0745,0.9748,0.0293,0.9909,0.9698,0.9982
2,0.0379,0.9887,0.0226,0.9936,0.9784,0.9985
3,0.0291,0.9917,0.0225,0.9929,0.976,0.9983
4,0.0243,0.9928,0.0188,0.994,0.9799,0.9989
5,0.0223,0.9931,0.0251,0.9935,0.9781,0.9983
6,0.0173,0.9947,0.0183,0.9944,0.9812,0.9989
7,0.0153,0.9953,0.0181,0.9949,0.9828,0.9981
8,0.0139,0.9957,0.0146,0.9952,0.9837,0.9994
9,0.0107,0.9967,0.0166,0.9952,0.9838,0.9994
10,0.01,0.9966,0.0168,0.9939,0.9798,0.9993
11,0.0101,0.9968,0.018,0.9943,0.9812,0.9992
12,0.0104,0.9965,0.0161,0.9955,0.985,0.9993
13,0.0079,0.9974,0.0199,0.9953,0.9843,0.9984
14,0.0082,0.9973,0.0134,0.9952,0.9839,0.9992
15,0.0059,0.998,0.0187,0.9938,0.9793,0.9987
16,0.0066,0.9977,0.0174,0.9945,0.9817,0.9991
17,0.0058,0.9981,0.0197,0.9951,0.9835,0.9985
18,0.0058,0.9982,0.0228,0.9952,0.9838,0.9986
19,0.0054,0.9981,0.0229,0.9938,0.9795,0.9994
20,0.0046,0.9983,0.0296,0.9949,0.9827,0.9982
21,0.0043,0.9985,0.0168,0.996,0.9866,0.9984
22,0.0047,0.9984,0.0234,0.9939,0.98,0.9984
23,0.0035,0.999,0.0192,0.9951,0.9834,0.9991
24,0.0037,0.9989,0.0173,0.9959,0.9863,0.9993
25,0.0031,0.9989,0.0232,0.9939,0.98,0.9991
26,0.0029,0.999,0.0245,0.9952,0.9838,0.9988
27,0.0021,0.9994,0.0255,0.9955,0.985,0.9991
28,0.002,0.9994,0.0262,0.9951,0.9835,0.9991
29,0.0021,0.9993,0.0241,0.9947,0.9823,0.9984
30,0.0021,0.9995,0.0218,0.9958,0.986,0.9986
31,0.0011,0.9996,0.0323,0.9954,0.9847,0.9978
32,0.0011,0.9996,0.0311,0.9952,0.9842,0.9981
33,0.0011,0.9996,0.0311,0.995,0.9832,0.9989
34,0.0007,0.9998,0.0384,0.9952,0.984,0.9953
35,0.0007,0.9998,0.0329,0.9955,0.985,0.9963
36,0.0005,0.9999,0.0387,0.9957,0.9856,0.9936
37,0.0004,0.9999,0.0338,0.9958,0.9859,0.9959
38,0.0009,0.9998,0.03,0.9964,0.9878,0.9972
39,0.0001,1.0,0.0335,0.9962,0.9872,0.9961
40,0.0003,0.9999,0.0323,0.9956,0.9854,0.9964
41,0.0002,1.0,0.0354,0.9957,0.9857,0.9967
42,0.0001,1.0,0.0366,0.9956,0.9854,0.9957
43,0.0001,1.0,0.0367,0.9955,0.9851,0.9945
44,0.0,1.0,0.0371,0.9953,0.9845,0.9938
45,0.0,1.0,0.0371,0.9953,0.9845,0.9934
46,0.0,1.0,0.037,0.9956,0.9854,0.9929
47,0.0,1.0,0.0378,0.9955,0.9851,0.9929
48,0.0,1.0,0.0376,0.9956,0.9854,0.993
49,0.0,1.0,0.0385,0.9954,0.9847,0.9929
50,0.0,1.0,0.0385,0.9953,0.9844,0.9932
